Model,Display Size,Display Technology,Pixel Density,Battery Capacity,Camera Resolution,CPU Manufacturing,Operating System,RAM,Internal Storage,Refresh Rate,5g,Price,Waterproof,Dustproof,ProductID
Poco X6 Pro,6.67,AMOLED,446,5000,64,4,Android,8,256,120,1,17248,4,5,941065
Honor 200,6.7,AMOLED,435,5200,50,4,Android,12,512,120,1,19999,0,0,987127
Redmi Note 14 Pro 5G,6.67,AMOLED,446,5110,200,4,Android,12,512,120,1,20249,8,6,872682
Samsung Galaxy S23 FE,6.4,Dynamic AMOLED,403,4500,50,4,Android,8,128,120,1,22274,8,6,986893
Poco X7,6.67,AMOLED,446,5110,50,4,Android,12,512,120,1,16799,8,6,926315
Tecno Camon 30 Pro,6.78,AMOLED,393,5000,50,4,Android,12,512,144,1,21749,0,0,930734
Vivo V30,6.78,AMOLED,452,5000,50,4,Android,12,512,120,1,29999,4,5,894931
Redmi Note 13 Pro 5G,6.67,AMOLED,446,5100,200,4,Android,12,512,120,1,20199,4,5,942114
realme 12 Pro+,6.7,AMOLED,394,5000,50,4,Android,12,512,120,1,19509,5,6,922717
Vivo V30,6.78,AMOLED,452,5000,50,4,Android,12,256,120,1,23997,4,5,937597
Redmi Note 13 Pro 5G,6.67,AMOLED,446,5100,200,4,Android,12,256,120,1,17434,4,5,969507
Honor 200,6.7,AMOLED,435,5200,50,4,Android,8,256,120,1,16600,0,0,953612
Nothing Phone,6.7,AMOLED,394,5000,50,4,Android,12,256,120,1,22499,4,5,968448
Samsung Galaxy A56 5G,6.7,Super AMOLED,385,5000,50,4,Android,8,256,120,1,19039,7,6,951882
Poco X6 5G,6.67,AMOLED,446,5100,64,4,Android,12,512,120,1,16923,4,5,1006492
Huawei Nova 13 Pro,6.76,OLED,449,5000,50,7,Android,12,256,120,0,29499,0,0,977394
Poco X7,6.67,AMOLED,446,5110,50,4,Android,8,256,120,1,15821,8,6,931661
Samsung Galaxy A55 5G,6.6,Super AMOLED,390,5000,50,4,Android,8,256,120,1,19199,7,6,988496
Oppo Reno13 F 5G,6.67,AMOLED,394,5800,50,4,Android,12,256,120,1,19495,9,6,982813
Redmi Note 13 Pro 5G,6.67,AMOLED,446,5100,200,4,Android,8,256,120,1,14610,4,5,921556
Poco X6 5G,6.67,AMOLED,446,5100,64,4,Android,12,256,120,1,17522,4,5,1001256
realme 12 Pro+,6.7,AMOLED,394,5000,50,4,Android,8,256,120,1,19748,5,6,988959
Samsung Galaxy A56 5G,6.7,Super AMOLED,385,5000,50,4,Android,8,128,120,1,17633,7,6,869958
Honor Magic7 Lite,6.78,AMOLED,437,6600,108,4,Android,8,512,120,1,18499,5,6,993608
Honor 90,6.7,AMOLED,435,5000,200,4,Android,12,512,120,1,28499,0,0,917434
Samsung Galaxy A36 5G,6.7,Super AMOLED,385,5000,50,4,Android,8,256,120,1,15795,7,6,928172
Samsung Galaxy A55 5G,6.6,Super AMOLED,390,5000,50,4,Android,8,128,120,1,16199,7,6,858472
Nothing Phone,6.7,AMOLED,394,5000,50,4,Android,12,256,120,1,17999,4,5,931647
Samsung Galaxy A54 5G,6.4,Super AMOLED,403,5000,50,5,Android,8,256,120,1,18227,7,6,988899
Samsung Galaxy A35 5G,6.6,Super AMOLED,390,5000,50,5,Android,8,256,120,1,15231,7,6,970469
Redmi Note 14 Pro,6.67,AMOLED,395,5500,200,6,Android,12,512,120,0,15639,4,6,921549
Honor Magic7 Lite,6.78,AMOLED,437,6600,108,4,Android,8,256,120,1,15899,5,6,866303
realme 12 Pro,6.7,AMOLED,394,5000,50,4,Android,8,256,120,1,14509,5,6,885237
Tecno Camon 20 Premier 5G,6.67,AMOLED,395,5000,50,6,Android,8,512,120,1,16599,3,5,998274
Vivo V29 5G,6.78,AMOLED,453,4600,50,6,Android,8,256,120,1,19899,8,6,1001257
Redmi Note 14S,6.67,AMOLED,394,5000,200,6,Android,12,512,120,0,17659,4,6,920647
Samsung Galaxy A36 5G,6.7,Super AMOLED,385,5000,50,4,Android,8,128,120,1,14299,7,6,869283
Redmi Note 13 Pro,6.67,AMOLED,395,5000,200,6,Android,12,512,120,0,15049,4,5,923487
Samsung Galaxy A34 5G,6.6,Super AMOLED,390,5000,48,6,Android,8,256,120,1,18612,7,6,866670
Oppo Reno11 F 5G,6.7,AMOLED,394,5000,64,6,Android,8,256,120,1,14899,5,6,844335
realme 11 Pro+,6.7,AMOLED,394,5000,200,6,Android,12,512,120,1,18525,0,0,917882
Samsung Galaxy A54 5G,6.4,Super AMOLED,403,5000,50,5,Android,8,128,120,1,16999,7,6,961043
Samsung Galaxy A35 5G,6.6,Super AMOLED,390,5000,50,5,Android,8,128,120,1,13499,7,6,917822
Tecno Phantom V Flip2,6.9,AMOLED,413,4720,50,6,Android,8,256,120,1,35849,0,0,926297
Poco M6 Pro,6.67,AMOLED,394,5000,64,6,Android,12,512,120,0,15600,4,5,966570
Tecno Pova 6 Pro,6.78,AMOLED,393,6000,108,6,Android,12,256,120,1,17149,3,5,844696
Tecno Camon 30 5G,6.78,AMOLED,393,5000,50,6,Android,12,512,120,1,15230,4,5,925034
Redmi Note 14 Pro,6.67,AMOLED,395,5500,200,6,Android,8,256,120,0,12470,4,6,1000883
Samsung Galaxy A34 5G,6.6,Super AMOLED,390,5000,48,6,Android,8,128,120,1,17250,7,6,975822
realme 12+,6.67,AMOLED,395,5000,50,6,Android,8,256,120,1,13509,4,5,925141
Samsung Galaxy A26 5G,6.7,Super AMOLED,385,5000,50,5,Android,8,256,120,1,13599,7,6,896137
Poco M7 Pro 5G,6.67,AMOLED,394,5110,50,6,Android,12,256,120,1,15099,4,6,933411
Nothing Phone,6.7,AMOLED,394,5000,50,4,Android,8,128,120,1,17599,4,5,917862
Tecno Phantom V Flip 5G,6.9,AMOLED,413,4000,64,6,Android,8,256,120,1,20212,0,0,962061
Tecno Pova 6,6.78,AMOLED,393,6000,108,6,Android,12,256,120,0,17997,3,5,968077
Redmi Note 13 Pro,6.67,AMOLED,395,5000,200,6,Android,8,256,120,0,10950,4,5,901621
Reeder S71,6.95,IPS LCD,387,5000,100,4,Android,12,256,144,1,14498,0,0,850785
Huawei Nova 13,6.7,OLED,395,5000,50,7,Android,12,256,120,0,27999,0,0,863026
Honor X9b,6.78,AMOLED,429,5800,108,4,Android,12,256,120,1,15136,0,0,993667
Xiaomi 13 Lite,6.55,AMOLED,402,4500,50,4,Android,8,256,120,1,22999,0,0,863003
Huawei Nova 11 Pro,6.78,OLED,429,4500,50,6,Android,8,256,120,0,22300,0,0,859071
Samsung Galaxy A26 5G,6.7,Super AMOLED,385,5000,50,5,Android,6,128,120,1,12367,7,6,988512
Huawei Nova 11,6.7,OLED,393,4500,50,6,Android,8,256,120,0,25999,0,0,930524
Redmi Note 12 Pro,6.67,AMOLED,395,5000,108,8,Android,8,256,120,0,11701,3,5,918686
Oppo Reno13 F,6.67,AMOLED,394,5800,50,6,Android,8,256,120,0,14919,9,6,866686
Huawei Nova 12s,6.7,OLED,395,4500,50,6,Android,8,256,120,0,19391,0,0,926288
Samsung Galaxy A25 5G,6.5,Super AMOLED,396,5000,50,5,Android,8,256,120,1,13100,0,0,988896
realme 11 Pro,6.7,AMOLED,394,5000,100,6,Android,8,256,120,1,14600,0,0,877145
Tecno Camon 30,6.78,AMOLED,393,5000,50,6,Android,8,256,120,0,12382,0,0,889975
Redmi Note 14,6.67,AMOLED,395,5500,108,6,Android,8,256,120,0,11399,4,5,900052
Infinix Note 40,6.78,AMOLED,393,5000,108,6,Android,8,256,120,0,14675,4,5,996976
Samsung Galaxy M34 5G,6.5,Super AMOLED,396,6000,50,5,Android,6,128,120,1,18749,0,0,969608
General Mobile GM Phoneix 5G,6.78,AMOLED,388,4700,50,6,Android,8,256,120,1,15385,0,0,849549
Infinix Zero 30 4G,6.78,AMOLED,388,5000,108,6,Android,8,256,120,0,13049,4,5,894217
Vivo V50 Lite,6.77,AMOLED,387,6500,50,6,Android,8,256,120,0,14599,5,6,917006
realme 12 4G,6.67,AMOLED,395,5000,50,6,Android,8,512,120,0,11494,4,5,917866
Poco X5 5G,6.67,AMOLED,395,5000,48,6,Android,8,256,120,1,14369,3,5,866322
Samsung Galaxy A25 5G,6.5,Super AMOLED,396,5000,50,5,Android,6,128,120,1,11416,0,0,962973
Tecno Spark 20 Pro+,6.78,AMOLED,393,5000,108,6,Android,8,256,120,0,12000,3,5,871307
Redmi Note 13,6.67,AMOLED,395,5000,108,6,Android,8,256,120,0,10537,4,5,982235
Tecno Camon 20 Pro,6.67,AMOLED,395,5000,64,6,Android,8,256,120,0,9244,3,5,962639
Oppo Reno11 FS,6.67,OLED,394,5000,50,6,Android,8,256,120,0,10848,4,6,926483
Vivo V29 Lite 5G,6.78,AMOLED,388,5000,64,6,Android,8,256,120,1,15827,4,5,946628
Redmi Note 14,6.67,AMOLED,395,5500,108,6,Android,8,128,120,0,10376,4,5,965189
Tecno Spark 30 Pro,6.78,AMOLED,393,5000,108,6,Android,8,256,120,0,10560,4,5,885247
Tecno Spark 20 Pro,6.78,IPS LCD,396,5000,108,6,Android,12,256,120,0,11299,3,5,963194
realme 12 4G,6.67,AMOLED,395,5000,50,6,Android,8,256,120,0,9509,4,5,871791
Infinix Hot 50 Pro+,6.78,AMOLED,396,5000,50,6,Android,8,256,120,0,11299,4,5,875666
Tecno Pova 5 Pro,6.78,IPS LCD,396,5000,50,6,Android,8,256,120,1,11599,0,0,913942
Vivo V40 Lite,6.67,AMOLED,394,5000,50,6,Android,8,256,120,0,12399,4,6,859458
Infinix Note 30,6.78,IPS LCD,396,5000,64,6,Android,8,256,120,0,15995,3,5,889977
Tecno Pova 5,6.78,IPS LCD,396,6000,50,6,Android,8,256,120,0,8496,0,0,960603
Tecno Spark 20 Pro,6.78,IPS LCD,396,5000,108,6,Android,8,256,120,0,8485,3,5,933491
OnePlus Nord CE 3 Lite,6.72,IPS LCD,391,5000,108,6,Android,8,256,120,1,14799,0,0,859061
General Mobile GM 24 Pro,6.7,AMOLED,394,5000,50,6,Android,8,256,120,0,9359,0,0,884833
Samsung Galaxy A16 5G,6.7,Super AMOLED,385,5000,50,5,Android,8,256,90,1,11889,4,5,910129
Vivo V30 Lite,6.67,AMOLED,395,5000,50,6,Android,8,256,120,0,12000,4,5,868717
Redmi Note 12S,6.43,AMOLED,409,5000,108,12,Android,8,256,90,0,8952,3,5,866331
realme 11 4G,6.4,Super AMOLED,409,5000,108,6,Android,8,256,90,0,11484,0,0,974759
Infinix Hot 40 Pro,6.78,IPS LCD,396,5000,108,6,Android,8,256,120,0,11000,0,0,918685
Infinix Note 30,6.78,IPS LCD,396,5000,64,6,Android,8,128,120,0,8084,3,5,926952
Tecno Camon 20,6.67,AMOLED,395,5000,64,12,Android,8,256,60,0,9224,3,5,996753
Samsung Galaxy A16,6.7,Super AMOLED,385,5000,50,6,Android,8,256,90,0,10999,4,5,999631
Samsung Galaxy A15,6.5,Super AMOLED,396,5000,50,6,Android,8,256,90,0,12299,0,0,895739
