ProductID,ImageUrl,Model,Price,Model,Display Size,Display Technology,Pixel Density,Battery Capacity,Camera Resolution,CPU Manufacturing,Operating System,RAM,Internal Storage,Refresh Rate,5G,Suya dayanıklılık,Toza dayanıklılık
949040,https://resim.epey.com/949040/b_samsung-galaxy-z-fold6-1tb-2.png,Samsung Galaxy Z Fold6 12 GB RAM,84250,Samsung Galaxy Z Fold6,6.3 İnç,Dynamic AMOLED,407 PPI,4400 mAh,50 MP,4 nm,Android,12 GB,1 TB,120 Hz,Var,IPX8,IP4X
849758,https://resim.epey.com/849758/b_samsung-galaxy-s23-ultra-512gb-10.jpg,Samsung Galaxy S23 Ultra 12 GB RAM 512 GB,49149,Samsung Galaxy S23 Ultra,6.8 İnç,Dynamic AMOLED,500 PPI,5000 mAh,200 MP,4 nm,Android,12 GB,512 GB,120 Hz,Var,IPX8,IP6X
809150,https://resim.epey.com/809150/b_apple-iphone-14-pro-max-512gb-2.png,Apple iPhone 14 Pro Max 6 GB RAM 512 GB,97000,Apple iPhone 14 Pro Max,6.7 İnç,OLED,460 PPI,4323 mAh,48 MP,4 nm,iOS,6 GB,512 GB,120 Hz,Var,IPX8,IP6X
914325,https://resim.epey.com/914325/b_zte-nubia-z60-ultra-2.png,ZTE Nubia Z60 Ultra 16 GB RAM 512 GB,55999,ZTE Nubia Z60 Ultra,6.8 İnç,AMOLED,400 PPI,6000 mAh,50 MP,4 nm,Android,16 GB,512 GB,120 Hz,Var,IPX8,IP6X
960855,https://resim.epey.com/960855/b_apple-iphone-16-plus-256gb-2.png,Apple iPhone 16 Plus 8 GB RAM 256 GB,74289,Apple iPhone 16 Plus,6.7 İnç,OLED,460 PPI,4674 mAh,48 MP,3 nm,iOS,8 GB,256 GB,60 Hz,Var,IPX8,IP6X
886226,https://resim.epey.com/886226/b_apple-iphone-15-pro-3.png,Apple iPhone 15 Pro 8 GB RAM 128 GB,72994,Apple iPhone 15 Pro,6.1 İnç,OLED,460 PPI,3274 mAh,48 MP,3 nm,iOS,8 GB,128 GB,120 Hz,Var,IPX8,IP6X
809146,https://resim.epey.com/809146/b_apple-iphone-14-pro-1tb-3.png,Apple iPhone 14 Pro 6 GB RAM,96999,Apple iPhone 14 Pro,6.1 İnç,OLED,460 PPI,3200 mAh,48 MP,4 nm,iOS,6 GB,1 TB,120 Hz,Var,IPX8,IP6X
899623,https://resim.epey.com/899623/b_samsung-galaxy-s24-plus-1.png,Samsung Galaxy S24+ 12 GB RAM 256 GB,37578,Samsung Galaxy S24+,6.7 İnç,Dynamic AMOLED,513 PPI,4900 mAh,50 MP,4 nm,Android,12 GB,256 GB,120 Hz,Var,IPX8,IP6X
970134,https://resim.epey.com/970134/b_nubia-red-magic-10-pro-1.png,Nubia Red Magic 10 Pro 12 GB RAM 256 GB,47999,Nubia Red Magic 10 Pro,6.85 İnç,AMOLED,431 PPI,7050 mAh,50 MP,3 nm,Android,12 GB,256 GB,144 Hz,Var,,
963079,https://resim.epey.com/963079/b_xiaomi-13-pro-256gb-2.png,Xiaomi 13 Pro 12 GB RAM 256 GB,42634,Xiaomi 13 Pro,6.73 İnç,AMOLED,521 PPI,4820 mAh,50 MP,4 nm,Android,12 GB,256 GB,120 Hz,Var,IPX8,IP6X
809148,https://resim.epey.com/809148/b_apple-iphone-14-pro-max-256gb-2.png,Apple iPhone 14 Pro Max 6 GB RAM 256 GB,70771,Apple iPhone 14 Pro Max,6.7 İnç,OLED,460 PPI,4323 mAh,48 MP,4 nm,iOS,6 GB,256 GB,120 Hz,Var,IPX8,IP6X
885130,https://resim.epey.com/885130/b_honor-magic-v2-13.png,Honor Magic V2 16 GB RAM 512 GB,59999,Honor Magic V2,6.43 İnç,OLED,405 PPI,5000 mAh,50 MP,4 nm,Android,16 GB,512 GB,120 Hz,Var,,
960854,https://resim.epey.com/960854/b_apple-iphone-16-512gb-2.png,Apple iPhone 16 8 GB RAM 512 GB,72999,Apple iPhone 16,6.1 İnç,OLED,460 PPI,3561 mAh,48 MP,3 nm,iOS,8 GB,512 GB,60 Hz,Var,IPX8,IP6X
959953,https://resim.epey.com/959953/b_apple-iphone-16-plus-2.png,Apple iPhone 16 Plus 8 GB RAM 128 GB,65899,Apple iPhone 16 Plus,6.7 İnç,OLED,460 PPI,4674 mAh,48 MP,3 nm,iOS,8 GB,128 GB,60 Hz,Var,IPX8,IP6X
947718,https://resim.epey.com/947718/b_samsung-galaxy-z-fold6-2.png,Samsung Galaxy Z Fold6 12 GB RAM 512 GB,69523,Samsung Galaxy Z Fold6,6.3 İnç,Dynamic AMOLED,407 PPI,4400 mAh,50 MP,4 nm,Android,12 GB,512 GB,120 Hz,Var,IPX8,IP4X
